"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC";"Math.RMS";"Math.AVG1000";"Math.StdDev";"Math.StdDev100"
52;21,358;0,3559666667;1752603222,866;9,9804343;9,9804314358;9,9804314358;0,000002889;0,000002889
53;21,766;0,3627666667;1752603223,274;9,9804354;9,9804315093;9,9804315093;0,000002912;0,000002912
54;22,174;0,3695666667;1752603223,682;9,9804387;9,98043164;9,98043164;0,0000030435;0,0000030435
55;22,582;0,3763666667;1752603224,09;9,9804376;9,9804317464;9,9804317464;0,0000031191;0,0000031191
56;22,991;0,3831833333;1752603224,499;9,9804365;9,9804318298;9,9804318298;0,0000031546;0,0000031546
57;23,399;0,3899833333;1752603224,907;9,9804354;9,9804318914;9,9804318914;0,0000031617;0,0000031617
58;23,808;0,3968;1752603225,316;9,9804376;9,9804319881;9,9804319881;0,0000032213;0,0000032213
59;24,217;0,4036166667;1752603225,725;9,9804321;9,98043199;9,98043199;0,0000031939;0,0000031939
60;24,625;0,4104166667;1752603226,133;9,9804332;9,9804320098;9,9804320098;0,0000031709;0,0000031709
61;25,034;0,4172333333;1752603226,542;9,9804376;9,9804321;9,9804321;0,000003224;0,000003224
62;25,443;0,42405;1752603226,951;9,9804321;9,9804321;9,9804321;0,0000031979;0,0000031979
63;25,851;0,43085;1752603227,359;9,9804332;9,9804321172;9,9804321172;0,0000031754;0,0000031754
64;26,26;0,4376666667;1752603227,768;9,9804321;9,9804321169;9,9804321169;0,0000031505;0,0000031505
65;26,668;0,4444666667;1752603228,177;9,9804354;9,9804321667;9,9804321667;0,0000031522;0,0000031522
66;27,077;0,4512833333;1752603228,585;9,9804376;9,9804322478;9,9804322478;0,0000031978;0,0000031978
67;27,577;0,4596166667;1752603229,085;9,9804365;9,9804323103;9,9804323103;0,0000032155;0,0000032155
68;28,077;0,46795;1752603229,586;9,9804354;9,9804323551;9,9804323551;0,0000032134;0,0000032134
69;28,577;0,4762833333;1752603230,086;9,9804365;9,9804324143;9,9804324143;0,0000032282;0,0000032282
70;29,077;0,4846166667;1752603230,586;9,9804354;9,9804324563;9,9804324563;0,0000032246;0,0000032246
71;29,578;0,4929666667;1752603231,086;9,9804343;9,9804324819;9,9804324819;0,0000032092;0,0000032092
72;30,077;0,5012833333;1752603231,585;9,9804365;9,980432537;9,980432537;0,0000032213;0,0000032213
73;30,578;0,5096333333;1752603232,087;9,9804288;9,9804324865;9,9804324865;0,0000032286;0,0000032286
74;31,078;0,5179666667;1752603232,586;9,9804255;9,9804323933;9,9804323933;0,0000033066;0,0000033066
75;31,577;0,5262833333;1752603233,086;9,9804288;9,9804323461;9,9804323461;0,0000033102;0,0000033102
76;32,077;0,5346166667;1752603233,586;9,9804321;9,9804323429;9,9804323429;0,0000032885;0,0000032885
77;32,577;0,54295;1752603234,086;9,9804321;9,9804323397;9,9804323397;0,0000032672;0,0000032672
78;33,078;0,5513;1752603234,586;9,980431;9,9804323228;9,9804323228;0,0000032497;0,0000032497
79;33,578;0,5596333333;1752603235,087;9,9804277;9,980432265;9,980432265;0,0000032702;0,0000032702
80;34,077;0,56795;1752603235,586;9,9804299;9,9804322358;9,9804322358;0,0000032603;0,0000032603
81;34,577;0,5762833333;1752603236,085;9,980431;9,9804322207;9,9804322207;0,000003243;0,000003243
82;35,077;0,5846166667;1752603236,586;9,9804321;9,9804322193;9,9804322193;0,0000032231;0,0000032231
83;35,577;0,59295;1752603237,086;9,9804332;9,980432231;9,980432231;0,0000032055;0,0000032055
84;36,078;0,6013;1752603237,586;9,9804321;9,9804322294;9,9804322294;0,0000031863;0,0000031863
85;36,577;0,6096166667;1752603238,086;9,980431;9,9804322151;9,9804322151;0,0000031703;0,0000031703
86;37,078;0,6179666667;1752603238,587;9,9804387;9,9804322897;9,9804322897;0,0000032276;0,0000032276
87;37,577;0,6262833333;1752603239,086;9,9804343;9,9804323125;9,9804323125;0,0000032162;0,0000032162
88;38,078;0,6346333333;1752603239,587;9,9804354;9,9804323472;9,9804323472;0,0000032145;0,0000032145
89;38,577;0,64295;1752603240,086;9,9804376;9,9804324056;9,9804324056;0,000003244;0,000003244
90;39,077;0,6512833333;1752603240,586;9,9804376;9,9804324626;9,9804324626;0,0000032716;0,0000032716
91;39,578;0,6596333333;1752603241,087;9,9804299;9,9804324348;9,9804324348;0,0000032645;0,0000032645
92;40,077;0,66795;1752603241,586;9,9804343;9,9804324548;9,9804324548;0,0000032525;0,0000032525
93;40,577;0,6762833333;1752603242,085;9,9804332;9,9804324628;9,9804324628;0,0000032359;0,0000032359
94;41,077;0,6846166667;1752603242,585;9,9804365;9,9804325053;9,9804325053;0,0000032451;0,0000032451
95;41,578;0,6929666667;1752603243,086;9,9804354;9,9804325354;9,9804325354;0,0000032415;0,0000032415
96;42,077;0,7012833333;1752603243,586;9,9804365;9,9804325763;9,9804325763;0,0000032496;0,0000032496
97;42,577;0,7096166667;1752603244,086;9,9804332;9,9804325827;9,9804325827;0,0000032334;0,0000032334
98;43,077;0,71795;1752603244,585;9,9804343;9,9804326;9,9804326;0,0000032215;0,0000032215
99;43,577;0,7262833333;1752603245,085;9,9804321;9,980432595;9,980432595;0,0000032056;0,0000032056
100;44,077;0,7346166667;1752603245,586;9,9804332;9,980432606;9,980432601;0,0000031901;0,0000032058
101;44,577;0,74295;1752603246,086;9,9804321;9,980432639;9,9804325961;0,0000031746;0,0000031831
102;45,078;0,7513;1752603246,586;9,9804299;9,980432573;9,9804325699;0,0000031702;0,0000031706
