"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC"
109;48,915;0,81525;1752136229,624;9,9802327
110;49,416;0,8236;1752136230,124;9,9802283
111;49,916;0,8319333333;1752136230,624;9,9802294
112;50,415;0,84025;1752136231,123;9,9802261
113;50,915;0,8485833333;1752136231,623;9,9802228
114;51,415;0,8569166667;1752136232,123;9,9802294
115;51,915;0,86525;1752136232,623;9,9802316
116;52,416;0,8736;1752136233,125;9,9802316
117;52,915;0,8819166667;1752136233,624;9,9802294
118;53,416;0,8902666667;1752136234,124;9,9802272
119;53,915;0,8985833333;1752136234,624;9,9802283
120;54,415;0,9069166667;1752136235,123;9,9802294
121;54,916;0,9152666667;1752136235,624;9,9802261
122;55,416;0,9236;1752136236,124;9,9802316
123;55,915;0,9319166667;1752136236,624;9,9802316
124;56,415;0,94025;1752136237,124;9,9802305
125;56,915;0,9485833333;1752136237,625;9,9802272
126;57,415;0,9569166667;1752136238,124;9,9802239
127;57,916;0,9652666667;1752136238,625;9,9802272
128;58,415;0,9735833333;1752136239,124;9,9802272
129;58,915;0,9819166667;1752136239,624;9,9802327
130;59,415;0,99025;1752136240,124;9,9802272
131;59,915;0,9985833333;1752136240,624;9,9802239
132;60,415;1,0069166667;1752136241,124;9,9802228
133;60,916;1,0152666667;1752136241,625;9,9802316
134;61,415;1,0235833333;1752136242,123;9,9802316
135;61,915;1,0319166667;1752136242,624;9,9802316
136;62,415;1,04025;1752136243,123;9,9802239
137;62,916;1,0486;1752136243,624;9,9802294
138;63,415;1,0569166667;1752136244,124;9,9802272
139;63,916;1,0652666667;1752136244,625;9,9802272
140;64,416;1,0736;1752136245,124;9,9802261
141;64,916;1,0819333333;1752136245,624;9,9802228
142;65,415;1,09025;1752136246,124;9,9802327
143;65,915;1,0985833333;1752136246,624;9,9802272
144;66,416;1,1069333333;1752136247,124;9,9802294
145;66,915;1,11525;1752136247,624;9,9802261
146;67,415;1,1235833333;1752136248,123;9,9802228
147;67,915;1,1319166667;1752136248,624;9,9802228
148;68,415;1,14025;1752136249,124;9,9802261
149;68,916;1,1486;1752136249,625;9,9802239
150;69,415;1,1569166667;1752136250,124;9,9802239
151;69,916;1,1652666667;1752136250,625;9,9802196
152;70,415;1,1735833333;1752136251,124;9,9802185
153;70,915;1,1819166667;1752136251,624;9,9802217
154;71,415;1,19025;1752136252,124;9,9802272
155;71,916;1,1986;1752136252,624;9,9802217
156;72,416;1,2069333333;1752136253,125;9,9802239
157;72,915;1,21525;1752136253,624;9,9802294
158;73,416;1,2236;1752136254,124;9,9802316
159;73,915;1,2319166667;1752136254,623;9,9802272
160;74,416;1,2402666667;1752136255,124;9,9802228
161;74,916;1,2486;1752136255,625;9,9802294
162;75,415;1,2569166667;1752136256,124;9,9802261
163;75,916;1,2652666667;1752136256,624;9,9802283
164;76,415;1,2735833333;1752136257,123;9,9802272
165;76,916;1,2819333333;1752136257,624;9,9802196
166;77,415;1,29025;1752136258,123;9,9802272
167;77,915;1,2985833333;1752136258,624;9,9802305
168;78,416;1,3069333333;1752136259,124;9,9802305
169;78,916;1,3152666667;1752136259,624;9,980225
170;79,416;1,3236;1752136260,124;9,9802239
171;79,915;1,3319166667;1752136260,624;9,9802338
172;80,416;1,3402666667;1752136261,125;9,980225
173;80,916;1,3486;1752136261,625;9,980225
174;81,415;1,3569166667;1752136262,123;9,9802261
175;81,916;1,3652666667;1752136262,624;9,9802272
176;82,415;1,3735833333;1752136263,124;9,9802316
177;82,915;1,3819166667;1752136263,623;9,9802272
178;83,415;1,39025;1752136264,124;9,9802239
179;83,915;1,3985833333;1752136264,624;9,9802294
180;84,416;1,4069333333;1752136265,125;9,9802316
181;84,915;1,41525;1752136265,624;9,9802294
182;85,415;1,4235833333;1752136266,124;9,9802283
183;85,915;1,4319166667;1752136266,623;9,9802239
184;86,416;1,4402666667;1752136267,125;9,9802239
185;86,916;1,4486;1752136267,624;9,980225
186;87,416;1,4569333333;1752136268,124;9,980225
187;87,915;1,46525;1752136268,624;9,9802261
188;88,415;1,4735833333;1752136269,124;9,9802261
189;88,915;1,4819166667;1752136269,624;9,9802261
190;89,416;1,4902666667;1752136270,124;9,9802239
191;89,915;1,4985833333;1752136270,64;9,980225
192;90,416;1,5069333333;1752136271,124;9,9802283
193;90,915;1,51525;1752136271,624;9,9802261
194;91,415;1,5235833333;1752136272,123;9,9802283
195;91,916;1,5319333333;1752136272,624;9,9802283
196;92,416;1,5402666667;1752136273,124;9,9802272
197;92,915;1,5485833333;1752136273,623;9,9802338
198;93,415;1,5569166667;1752136274,123;9,9802327
199;93,915;1,56525;1752136274,623;9,9802305
200;94,416;1,5736;1752136275,124;9,9802338
201;94,916;1,5819333333;1752136275,625;9,9802272
202;95,415;1,59025;1752136276,123;9,9802294
203;95,915;1,5985833333;1752136276,624;9,9802261
204;96,415;1,6069166667;1752136277,124;9,9802272
205;96,915;1,61525;1752136277,624;9,9802272
206;97,415;1,6235833333;1752136278,124;9,9802294
207;97,916;1,6319333333;1752136278,624;9,9802338
208;98,416;1,6402666667;1752136279,125;9,9802294
209;98,916;1,6486;1752136279,624;9,9802294
210;99,415;1,6569166667;1752136280,123;9,9802261
211;99,915;1,66525;1752136280,624;9,9802261
212;100,415;1,6735833333;1752136281,124;9,9802327
213;100,916;1,6819333333;1752136281,624;9,9802327
214;101,415;1,69025;1752136282,124;9,9802371
215;101,915;1,6985833333;1752136282,624;9,9802338
216;102,416;1,7069333333;1752136283,125;9,9802349
217;102,915;1,71525;1752136283,624;9,980236
218;103,416;1,7236;1752136284,124;9,9802283
219;103,916;1,7319333333;1752136284,625;9,9802327
220;104,416;1,7402666667;1752136285,124;9,9802371
221;104,915;1,7485833333;1752136285,624;9,9802316
222;105,415;1,7569166667;1752136286,123;9,9802316
223;105,915;1,76525;1752136286,624;9,9802272
224;106,415;1,7735833333;1752136287,124;9,9802261
225;106,916;1,7819333333;1752136287,624;9,9802283
226;107,416;1,7902666667;1752136288,124;9,9802338
227;107,915;1,7985833333;1752136288,624;9,9802305
228;108,415;1,8069166667;1752136289,124;9,9802305
229;108,915;1,81525;1752136289,624;9,9802327
230;109,415;1,8235833333;1752136290,124;9,9802316
231;109,915;1,8319166667;1752136290,624;9,9802294
232;110,416;1,8402666667;1752136291,124;9,9802283
233;110,916;1,8486;1752136291,624;9,9802272
234;111,415;1,8569166667;1752136292,124;9,9802327
235;111,915;1,86525;1752136292,623;9,9802283
236;112,416;1,8736;1752136293,124;9,9802283
237;112,916;1,8819333333;1752136293,624;9,9802327
238;113,416;1,8902666667;1752136294,124;9,9802305
239;113,915;1,8985833333;1752136294,623;9,9802283
240;114,415;1,9069166667;1752136295,123;9,9802316
241;114,915;1,91525;1752136295,624;9,9802283
242;115,416;1,9236;1752136296,124;9,9802272
243;115,915;1,9319166667;1752136296,624;9,9802261
244;116,416;1,9402666667;1752136297,124;9,9802316
245;116,916;1,9486;1752136297,624;9,9802283
246;117,416;1,9569333333;1752136298,124;9,9802338
247;117,916;1,9652666667;1752136298,624;9,9802272
248;118,416;1,9736;1752136299,125;9,9802283
249;118,915;1,9819166667;1752136299,624;9,9802272
250;119,415;1,99025;1752136300,124;9,9802261
